Duration,Start date,Start terminal,End terminal,Subscription Type
0h 4m 34s,7/1/2014 16:58,31205,31222,Registered
0h 5m 24s,7/1/2014 16:58,31221,31229,Registered
0h 8m 13s,7/1/2014 16:58,32033,32045,Registered
0h 5m 47s,7/1/2014 16:58,31610,31619,Registered
0h 3m 39s,7/1/2014 16:58,31638,31600,Registered
0h 6m 55s,7/1/2014 16:59,31260,31225,Registered
0h 9m 6s,7/1/2014 16:59,31235,31270,Registered
0h 13m 23s,7/1/2014 16:59,31204,31256,Registered
0h 4m 6s,7/1/2014 16:59,31201,31200,Registered
0h 7m 23s,7/1/2014 16:59,31230,31203,Registered
0h 19m 57s,7/1/2014 16:59,31637,31248,Registered
0h 7m 52s,7/1/2014 16:59,31243,31623,Registered
0h 2m 33s,7/1/2014 16:59,31245,31509,Registered
0h 21m 28s,7/1/2014 17:00,31247,31103,Registered
0h 6m 57s,7/1/2014 17:00,31620,31272,Registered
0h 26m 13s,7/1/2014 17:00,31604,31637,Casual
0h 9m 24s,7/1/2014 17:00,31217,31618,Registered
0h 11m 35s,7/1/2014 17:00,31204,31609,Registered
0h 5m 2s,7/1/2014 17:00,31605,31606,Casual
0h 4m 45s,7/1/2014 17:00,31268,31229,Registered
0h 7m 49s,7/1/2014 17:00,31251,31509,Registered
0h 6m 37s,7/1/2014 17:01,31268,31114,Registered
0h 10m 11s,7/1/2014 17:01,31236,31200,Casual
0h 7m 24s,7/1/2014 17:01,31242,31228,Registered
0h 2m 59s,7/1/2014 17:01,31016,31031,Registered
0h 11m 49s,7/1/2014 17:01,31506,31228,Registered
0h 14m 26s,7/1/2014 17:01,31634,31623,Registered
0h 2m 12s,7/1/2014 17:01,31007,31011,Registered
0h 15m 44s,7/1/2014 17:01,31243,31623,Registered
0h 9m 37s,7/1/2014 17:01,31217,31623,Registered
0h 8m 51s,7/1/2014 17:01,31631,31270,Registered
0h 24m 0s,7/1/2014 17:01,31230,31207,Registered
0h 9m 27s,7/1/2014 17:01,31216,31246,Registered
0h 0m 26s,7/1/2014 17:01,31218,31218,Registered
0h 8m 40s,7/1/2014 17:02,31623,31632,Registered
0h 8m 2s,7/1/2014 17:02,31118,31228,Registered
0h 20m 30s,7/1/2014 17:02,31238,31107,Registered
0h 8m 9s,7/1/2014 17:02,31241,31242,Registered
0h 22m 56s,7/1/2014 17:02,31254,31201,Registered
0h 31m 3s,7/1/2014 17:02,31247,31306,Registered
0h 5m 18s,7/1/2014 17:02,31266,31600,Registered
0h 25m 16s,7/1/2014 17:02,31243,31115,Registered
0h 7m 59s,7/1/2014 17:02,31253,31241,Registered
0h 2m 9s,7/1/2014 17:02,31268,31119,Registered
0h 1m 57s,7/1/2014 17:02,31121,31106,Registered
0h 21m 41s,7/1/2014 17:02,31217,31002,Registered
0h 7m 55s,7/1/2014 17:02,31243,31623,Registered
0h 8m 58s,7/1/2014 17:02,31044,31047,Registered
0h 17m 57s,7/1/2014 17:02,31243,31607,Registered
0h 5m 9s,7/1/2014 17:02,31265,31624,Registered
0h 14m 34s,7/1/2014 17:02,31218,31624,Registered
0h 4m 58s,7/1/2014 17:02,31229,31201,Registered
0h 15m 18s,7/1/2014 17:03,31231,31623,Registered
0h 13m 58s,7/1/2014 17:03,31100,31248,Registered
0h 3m 36s,7/1/2014 17:03,31027,31029,Registered
0h 4m 47s,7/1/2014 17:03,31201,31200,Registered
0h 28m 53s,7/1/2014 17:03,31243,31022,Registered
0h 6m 55s,7/1/2014 17:03,31230,31242,Registered
0h 16m 52s,7/1/2014 17:03,31014,31019,Registered
0h 15m 31s,7/1/2014 17:03,31236,31106,Registered
0h 16m 8s,7/1/2014 17:03,31621,31252,Registered
0h 13m 14s,7/1/2014 17:03,31248,31243,Casual
0h 4m 18s,7/1/2014 17:03,31262,31263,Registered
0h 5m 20s,7/1/2014 17:03,31223,31506,Registered
0h 8m 12s,7/1/2014 17:03,31044,31047,Registered
0h 7m 22s,7/1/2014 17:03,31205,31200,Registered
0h 13m 4s,7/1/2014 17:03,31248,31243,Casual
0h 8m 45s,7/1/2014 17:03,31212,31231,Registered
0h 14m 55s,7/1/2014 17:03,31256,31628,Registered
0h 6m 36s,7/1/2014 17:03,31617,31619,Registered
0h 6m 17s,7/1/2014 17:03,31217,31271,Registered
0h 20m 45s,7/1/2014 17:03,31239,31623,Registered
0h 16m 19s,7/1/2014 17:03,31308,31104,Registered
0h 24m 56s,7/1/2014 17:03,31264,31235,Casual
0h 2m 26s,7/1/2014 17:04,31024,31039,Registered
0h 3m 26s,7/1/2014 17:04,31216,31241,Registered
0h 8m 35s,7/1/2014 17:04,31265,31243,Registered
0h 24m 36s,7/1/2014 17:04,31264,31235,Casual
0h 20m 22s,7/1/2014 17:04,31232,31103,Registered
0h 9m 40s,7/1/2014 17:04,31234,31104,Registered
0h 55m 25s,7/1/2014 17:04,31111,31227,Registered
0h 19m 23s,7/1/2014 17:04,31312,31121,Registered
0h 25m 20s,7/1/2014 17:04,31235,31201,Registered
0h 8m 2s,7/1/2014 17:04,31220,31247,Registered
0h 6m 44s,7/1/2014 17:04,31204,31231,Casual
0h 25m 2s,7/1/2014 17:04,31235,31201,Registered
0h 3m 12s,7/1/2014 17:04,31116,31110,Registered
0h 10m 34s,7/1/2014 17:04,31620,31203,Registered
0h 6m 29s,7/1/2014 17:04,31221,31214,Registered
0h 12m 6s,7/1/2014 17:04,31248,31243,Casual
0h 24m 33s,7/1/2014 17:05,31106,31121,Registered
0h 6m 26s,7/1/2014 17:05,31628,31244,Registered
0h 5m 52s,7/1/2014 17:05,31228,31231,Registered
0h 3m 8s,7/1/2014 17:05,31241,31221,Registered
0h 4m 2s,7/1/2014 17:05,31009,31007,Registered
0h 7m 57s,7/1/2014 17:05,31245,31119,Registered
0h 43m 7s,7/1/2014 17:05,32048,31215,Registered
0h 6m 19s,7/1/2014 17:05,31230,31216,Registered
0h 6m 43s,7/1/2014 17:05,31100,31238,Registered
0h 15m 3s,7/1/2014 17:05,31204,31109,Registered
0h 22m 48s,7/1/2014 17:05,31253,31620,Registered
0h 9m 14s,7/1/2014 17:05,31624,31228,Registered
0h 20m 51s,7/1/2014 17:05,31204,31112,Registered
0h 17m 46s,7/1/2014 17:05,31218,31612,Registered
0h 7m 34s,7/1/2014 17:05,31254,31202,Registered
0h 16m 30s,7/1/2014 17:05,31255,31600,Registered
0h 6m 18s,7/1/2014 17:05,31208,31605,Registered
0h 13m 38s,7/1/2014 17:05,31205,31228,Registered
0h 32m 10s,7/1/2014 17:05,31214,31613,Registered
0h 7m 18s,7/1/2014 17:05,31637,31611,Casual
0h 7m 23s,7/1/2014 17:06,31255,31241,Registered
0h 10m 30s,7/1/2014 17:06,31269,31604,Registered
0h 9m 37s,7/1/2014 17:06,31213,31624,Registered
0h 4m 41s,7/1/2014 17:06,31227,31242,Registered
0h 31m 1s,7/1/2014 17:06,31014,31231,Casual
1h 7m 23s,7/1/2014 17:06,31247,31233,Casual
0h 12m 55s,7/1/2014 17:06,31228,31268,Registered
0h 11m 0s,7/1/2014 17:06,31261,31633,Registered
0h 10m 51s,7/1/2014 17:06,31109,31214,Registered
0h 4m 38s,7/1/2014 17:06,31624,31265,Registered
0h 17m 12s,7/1/2014 17:06,31300,31402,Registered
0h 21m 0s,7/1/2014 17:06,31247,31014,Registered
0h 11m 51s,7/1/2014 17:06,31240,31234,Registered
0h 10m 40s,7/1/2014 17:06,31108,31613,Registered
0h 12m 0s,7/1/2014 17:07,31231,31108,Registered
0h 16m 2s,7/1/2014 17:07,31224,31119,Registered
0h 11m 6s,7/1/2014 17:07,31205,31254,Registered
0h 4m 54s,7/1/2014 17:07,31044,31048,Registered
0h 6m 5s,7/1/2014 17:07,31241,31268,Registered
0h 2m 50s,7/1/2014 17:07,31004,31006,Registered
0h 19m 0s,7/1/2014 17:07,31513,31121,Registered
0h 12m 40s,7/1/2014 17:07,31252,31265,Registered
0h 2m 25s,7/1/2014 17:07,31213,31239,Registered
0h 11m 26s,7/1/2014 17:07,31225,31213,Registered
0h 9m 3s,7/1/2014 17:07,31104,31268,Registered
0h 5m 53s,7/1/2014 17:07,31246,31257,Registered
0h 28m 42s,7/1/2014 17:08,31607,31231,Registered
0h 7m 51s,7/1/2014 17:08,31257,31200,Registered
0h 24m 24s,7/1/2014 17:08,31057,31033,Registered
0h 7m 29s,7/1/2014 17:08,31619,31613,Registered
0h 4m 28s,7/1/2014 17:08,31204,31250,Registered
0h 8m 53s,7/1/2014 17:08,31623,31617,Registered
1h 5m 24s,7/1/2014 17:08,31247,31233,Casual
0h 7m 59s,7/1/2014 17:08,31201,31213,Registered
0h 16m 49s,7/1/2014 17:09,31271,31249,Registered
0h 23m 5s,7/1/2014 17:09,31015,31109,Registered
0h 23m 41s,7/1/2014 17:09,31265,31229,Registered
0h 9m 47s,7/1/2014 17:09,31110,31119,Registered
0h 9m 7s,7/1/2014 17:09,31212,31110,Registered
0h 5m 23s,7/1/2014 17:09,31252,31234,Registered
0h 4m 37s,7/1/2014 17:09,31251,31230,Registered
0h 22m 22s,7/1/2014 17:09,31262,31114,Registered
0h 12m 26s,7/1/2014 17:09,31231,31200,Registered
0h 4m 18s,7/1/2014 17:09,31252,31213,Registered
0h 7m 54s,7/1/2014 17:10,31204,31200,Registered
0h 10m 35s,7/1/2014 17:10,31233,31116,Registered
0h 4m 6s,7/1/2014 17:10,31104,31106,Registered
0h 25m 39s,7/1/2014 17:10,31011,31018,Registered
0h 7m 26s,7/1/2014 17:10,31260,31221,Registered
0h 4m 29s,7/1/2014 17:10,31100,31238,Registered
0h 16m 55s,7/1/2014 17:10,31233,31105,Registered
0h 24m 33s,7/1/2014 17:10,31254,31617,Casual
0h 14m 49s,7/1/2014 17:10,31235,31108,Registered
0h 5m 4s,7/1/2014 17:10,31003,31003,Casual
0h 11m 13s,7/1/2014 17:10,31602,31407,Registered
0h 12m 23s,7/1/2014 17:10,31037,31021,Registered
0h 5m 14s,7/1/2014 17:10,31003,31003,Casual
0h 8m 29s,7/1/2014 17:10,31212,31201,Registered
0h 29m 52s,7/1/2014 17:10,31624,31201,Registered
0h 7m 12s,7/1/2014 17:10,31227,31265,Registered
0h 4m 57s,7/1/2014 17:11,31252,31213,Registered
0h 8m 17s,7/1/2014 17:11,31802,31805,Registered
0h 8m 48s,7/1/2014 17:11,31623,31272,Registered
0h 9m 37s,7/1/2014 17:11,31612,31607,Registered
0h 6m 41s,7/1/2014 17:11,31257,31200,Registered
0h 20m 20s,7/1/2014 17:11,31217,31200,Registered
0h 12m 23s,7/1/2014 17:11,31243,31231,Registered
0h 7m 28s,7/1/2014 17:11,31200,31202,Registered
0h 6m 19s,7/1/2014 17:11,31629,31629,Registered
0h 14m 4s,7/1/2014 17:11,31214,31247,Registered
0h 14m 49s,7/1/2014 17:11,31266,31256,Casual
0h 10m 55s,7/1/2014 17:11,31227,31637,Registered
1h 10m 38s,7/1/2014 17:11,31623,31212,Casual
0h 16m 36s,7/1/2014 17:11,31247,31230,Casual
0h 7m 23s,7/1/2014 17:12,31251,31202,Registered
0h 26m 27s,7/1/2014 17:12,31628,31245,Casual
0h 24m 39s,7/1/2014 17:12,31408,31118,Registered
0h 24m 10s,7/1/2014 17:12,31620,31113,Registered
0h 11m 9s,7/1/2014 17:12,31217,31628,Registered
0h 9m 55s,7/1/2014 17:12,31624,31616,Casual
0h 5m 14s,7/1/2014 17:12,31221,31234,Registered
0h 14m 45s,7/1/2014 17:12,31234,31236,Casual
0h 25m 17s,7/1/2014 17:12,31003,31623,Registered
0h 21m 24s,7/1/2014 17:12,31404,31631,Registered
0h 1m 46s,7/1/2014 17:12,31016,31015,Registered
0h 3m 46s,7/1/2014 17:12,31228,31600,Registered
0h 4m 18s,7/1/2014 17:12,31234,31237,Registered
0h 15m 29s,7/1/2014 17:12,31247,31230,Casual
0h 6m 4s,7/1/2014 17:13,31214,31213,Registered
0h 12m 19s,7/1/2014 17:13,31257,31110,Registered
0h 18m 1s,7/1/2014 17:13,31261,31005,Registered
0h 14m 34s,7/1/2014 17:13,31213,31117,Registered
0h 17m 48s,7/1/2014 17:13,31633,31215,Registered
0h 3m 58s,7/1/2014 17:13,31007,31012,Registered
0h 8m 27s,7/1/2014 17:13,31270,31244,Registered
0h 13m 34s,7/1/2014 17:13,31214,31102,Registered
0h 4m 28s,7/1/2014 17:13,31623,31612,Registered
0h 15m 50s,7/1/2014 17:13,31260,31223,Registered
0h 13m 12s,7/1/2014 17:13,31118,31228,Registered
0h 18m 53s,7/1/2014 17:13,31037,31028,Registered
0h 12m 41s,7/1/2014 17:13,31264,31503,Registered
0h 0m 3s,7/1/2014 17:13,31007,31007,Registered
0h 14m 34s,7/1/2014 17:13,31247,31230,Casual
0h 3m 15s,7/1/2014 17:14,31239,31241,Registered
0h 13m 49s,7/1/2014 17:14,31247,31230,Casual
0h 3m 14s,7/1/2014 17:14,31623,31631,Registered
0h 1m 52s,7/1/2014 17:14,31612,31631,Registered
0h 11m 35s,7/1/2014 17:14,31255,31201,Registered
0h 5m 48s,7/1/2014 17:14,31233,31238,Registered
1h 8m 56s,7/1/2014 17:15,31261,32048,Registered
0h 33m 54s,7/1/2014 17:15,31268,31014,Registered
0h 30m 30s,7/1/2014 17:15,31116,31248,Registered
0h 31m 13s,7/1/2014 17:15,31204,31002,Registered
0h 12m 59s,7/1/2014 17:15,31241,31116,Registered
0h 10m 58s,7/1/2014 17:15,31264,31612,Registered
0h 13m 30s,7/1/2014 17:15,31106,31602,Casual
0h 22m 17s,7/1/2014 17:15,31612,31201,Casual
0h 19m 39s,7/1/2014 17:15,31627,31121,Registered
0h 5m 36s,7/1/2014 17:15,31249,31240,Casual
0h 8m 5s,7/1/2014 17:16,31241,31114,Registered
0h 4m 48s,7/1/2014 17:16,31061,31060,Registered
0h 9m 59s,7/1/2014 17:16,31234,31101,Registered
0h 4m 37s,7/1/2014 17:16,31613,31607,Registered
0h 2m 7s,7/1/2014 17:16,31605,31610,Registered
0h 18m 20s,7/1/2014 17:16,31300,31114,Registered
0h 5m 0s,7/1/2014 17:16,31108,31209,Registered
0h 10m 27s,7/1/2014 17:16,31623,31611,Registered
0h 4m 55s,7/1/2014 17:16,31249,31240,Casual
0h 6m 8s,7/1/2014 17:16,31236,31014,Registered
0h 23m 16s,7/1/2014 17:16,31269,31271,Casual
0h 18m 49s,7/1/2014 17:16,31611,31268,Registered
0h 5m 17s,7/1/2014 17:16,31204,31253,Registered
0h 22m 58s,7/1/2014 17:17,31269,31271,Casual
0h 5m 5s,7/1/2014 17:17,31202,31254,Registered
0h 15m 43s,7/1/2014 17:17,31607,31634,Registered
0h 15m 44s,7/1/2014 17:17,31222,31609,Registered
0h 17m 1s,7/1/2014 17:17,31003,31006,Casual
0h 17m 16s,7/1/2014 17:17,31003,31006,Casual
0h 4m 30s,7/1/2014 17:17,31257,31234,Registered
0h 3m 37s,7/1/2014 17:17,31621,31265,Registered
0h 8m 19s,7/1/2014 17:17,31623,31622,Registered
0h 10m 59s,7/1/2014 17:17,31241,31268,Registered
0h 14m 57s,7/1/2014 17:18,31253,31116,Registered
0h 10m 7s,7/1/2014 17:18,31221,31104,Registered
0h 15m 28s,7/1/2014 17:18,31602,31212,Registered
0h 4m 36s,7/1/2014 17:18,31252,31213,Registered
0h 19m 34s,7/1/2014 17:18,31212,31113,Casual
0h 4m 8s,7/1/2014 17:18,31613,31625,Registered
0h 7m 29s,7/1/2014 17:18,31272,31623,Registered
0h 13m 1s,7/1/2014 17:18,31613,31208,Casual
0h 9m 39s,7/1/2014 17:18,32025,32025,Registered
0h 7m 41s,7/1/2014 17:18,31201,31213,Registered
0h 6m 26s,7/1/2014 17:18,31235,31247,Registered
0h 10m 32s,7/1/2014 17:18,31602,31121,Registered
0h 10m 43s,7/1/2014 17:18,31637,31605,Registered
0h 10m 42s,7/1/2014 17:19,31215,31234,Registered
0h 45m 1s,7/1/2014 17:19,31608,31112,Registered
0h 24m 11s,7/1/2014 17:19,31057,31002,Registered
0h 5m 52s,7/1/2014 17:19,31263,31600,Registered
0h 14m 2s,7/1/2014 17:19,31805,31601,Registered
0h 15m 7s,7/1/2014 17:19,31270,31249,Registered
0h 6m 29s,7/1/2014 17:19,31228,31623,Registered
0h 4m 38s,7/1/2014 17:19,31257,31204,Registered
0h 24m 27s,7/1/2014 17:20,31623,31257,Registered
0h 4m 39s,7/1/2014 17:20,31268,31201,Registered
0h 15m 42s,7/1/2014 17:21,31227,31110,Casual
0h 11m 52s,7/1/2014 17:21,31230,31268,Registered
0h 5m 27s,7/1/2014 17:21,31252,31234,Registered
0h 7m 48s,7/1/2014 17:21,31213,31251,Registered
0h 10m 18s,7/1/2014 17:21,31235,31620,Registered
0h 16m 55s,7/1/2014 17:21,31231,31234,Registered
0h 16m 53s,7/1/2014 17:21,31014,31034,Registered
0h 12m 5s,7/1/2014 17:21,31201,31255,Registered
0h 4m 35s,7/1/2014 17:21,31623,31614,Registered
0h 24m 20s,7/1/2014 17:21,31252,31618,Registered
0h 7m 22s,7/1/2014 17:21,31219,31218,Registered
0h 7m 0s,7/1/2014 17:21,31408,32026,Registered
0h 6m 44s,7/1/2014 17:21,31505,31109,Registered
0h 22m 28s,7/1/2014 17:21,31255,31400,Registered
0h 24m 55s,7/1/2014 17:22,31242,31629,Registered
0h 7m 47s,7/1/2014 17:22,31257,31214,Registered
0h 14m 46s,7/1/2014 17:22,31611,31607,Registered
0h 4m 56s,7/1/2014 17:22,31254,31224,Registered
0h 13m 8s,7/1/2014 17:22,31221,31260,Registered
4h 5m 52s,7/1/2014 17:22,31243,31616,Registered
0h 36m 37s,7/1/2014 17:22,31037,31060,Registered
0h 5m 52s,7/1/2014 17:22,31271,31244,Registered
0h 14m 36s,7/1/2014 17:22,31613,31613,Registered
0h 7m 21s,7/1/2014 17:22,31007,31010,Registered
0h 12m 20s,7/1/2014 17:22,31110,31225,Casual
0h 3m 29s,7/1/2014 17:23,31241,31221,Registered
0h 7m 33s,7/1/2014 17:23,31301,31303,Registered
0h 15m 54s,7/1/2014 17:23,31105,31221,Registered
0h 6m 22s,7/1/2014 17:23,31065,31017,Registered
0h 16m 29s,7/1/2014 17:23,31222,31602,Registered
0h 5m 34s,7/1/2014 17:23,31268,31229,Registered
0h 10m 34s,7/1/2014 17:23,31228,31244,Registered
0h 8m 18s,7/1/2014 17:23,31624,31263,Registered
0h 17m 44s,7/1/2014 17:23,31602,31257,Registered
0h 22m 55s,7/1/2014 17:23,31623,31209,Registered
0h 10m 6s,7/1/2014 17:23,31624,31626,Registered
0h 11m 23s,7/1/2014 17:23,31608,31622,Registered
0h 22m 34s,7/1/2014 17:23,31623,31209,Registered
0h 8m 19s,7/1/2014 17:24,31255,31114,Registered
0h 24m 9s,7/1/2014 17:24,31261,31623,Casual
0h 11m 23s,7/1/2014 17:24,31240,31235,Casual
0h 11m 16s,7/1/2014 17:24,31240,31235,Casual
0h 7m 11s,7/1/2014 17:24,31613,31208,Registered
0h 16m 40s,7/1/2014 17:24,31239,31602,Casual
0h 12m 36s,7/1/2014 17:24,31616,31223,Registered
0h 11m 57s,7/1/2014 17:24,31264,31627,Registered
0h 3m 50s,7/1/2014 17:24,31263,31228,Registered
0h 7m 43s,7/1/2014 17:24,31618,31631,Registered
0h 4m 47s,7/1/2014 17:24,31204,31213,Registered
0h 13m 17s,7/1/2014 17:25,31212,31312,Casual
0h 17m 19s,7/1/2014 17:25,31637,31202,Registered
0h 6m 42s,7/1/2014 17:25,31230,31231,Registered
0h 5m 55s,7/1/2014 17:25,31624,31272,Registered
0h 37m 32s,7/1/2014 17:25,31241,31623,Registered
0h 14m 2s,7/1/2014 17:25,31250,31228,Registered
0h 8m 24s,7/1/2014 17:25,31619,31606,Registered
0h 9m 55s,7/1/2014 17:26,31103,31239,Registered
0h 10m 6s,7/1/2014 17:26,31637,31620,Registered
0h 9m 53s,7/1/2014 17:26,31628,31609,Casual
0h 22m 53s,7/1/2014 17:26,31261,31623,Casual
0h 7m 29s,7/1/2014 17:26,31015,31225,Registered
0h 34m 21s,7/1/2014 17:26,31249,31041,Registered
0h 10m 23s,7/1/2014 17:26,32025,32006,Registered
0h 13m 42s,7/1/2014 17:26,31218,31623,Registered
0h 2m 39s,7/1/2014 17:26,31637,31616,Casual
0h 6m 3s,7/1/2014 17:26,31241,31221,Registered
0h 7m 46s,7/1/2014 17:26,31216,31223,Registered
0h 5m 31s,7/1/2014 17:26,32010,31408,Registered
0h 5m 23s,7/1/2014 17:26,31109,31506,Registered
0h 5m 21s,7/1/2014 17:27,31002,31013,Registered
0h 8m 21s,7/1/2014 17:27,31225,31014,Registered
0h 34m 33s,7/1/2014 17:27,31613,31229,Registered
0h 6m 29s,7/1/2014 17:27,31270,31600,Registered
0h 18m 53s,7/1/2014 17:27,32021,31300,Registered
0h 4m 56s,7/1/2014 17:27,31239,31250,Registered
0h 12m 23s,7/1/2014 17:27,31253,31600,Casual
0h 26m 22s,7/1/2014 17:27,31309,31252,Registered
0h 16m 38s,7/1/2014 17:27,31121,31306,Registered
0h 11m 38s,7/1/2014 17:27,31108,31634,Registered
0h 17m 3s,7/1/2014 17:27,31050,31058,Registered
0h 7m 5s,7/1/2014 17:28,31613,31619,Registered
0h 10m 14s,7/1/2014 17:28,31110,31109,Registered
0h 11m 17s,7/1/2014 17:28,31260,31270,Registered
0h 21m 24s,7/1/2014 17:28,31272,31252,Registered
0h 30m 9s,7/1/2014 17:28,31303,31121,Registered
0h 4m 43s,7/1/2014 17:29,31623,31614,Registered
0h 5m 25s,7/1/2014 17:29,31251,31223,Registered
0h 14m 52s,7/1/2014 17:29,31271,31613,Registered
0h 11m 53s,7/1/2014 17:29,31110,31107,Registered
0h 3m 12s,7/1/2014 17:29,31408,32010,Registered
0h 8m 53s,7/1/2014 17:29,31623,31613,Registered
0h 7m 6s,7/1/2014 17:29,31219,31235,Registered
0h 3m 29s,7/1/2014 17:29,31265,31624,Registered
0h 6m 39s,7/1/2014 17:29,31256,31604,Registered
0h 8m 39s,7/1/2014 17:29,31215,31213,Registered
2h 14m 38s,7/1/2014 17:29,31258,31258,Casual
0h 2m 36s,7/1/2014 17:30,32048,32021,Registered
0h 26m 54s,7/1/2014 17:30,31258,31232,Casual
0h 17m 7s,7/1/2014 17:30,31233,31218,Registered
2h 14m 37s,7/1/2014 17:30,31258,31258,Casual
0h 13m 48s,7/1/2014 17:30,31262,31108,Registered
0h 22m 48s,7/1/2014 17:30,31623,31612,Registered
0h 0m 32s,7/1/2014 17:30,31109,31109,Registered
0h 9m 5s,7/1/2014 17:30,31609,31209,Registered
0h 9m 4s,7/1/2014 17:30,31609,31209,Registered
0h 26m 23s,7/1/2014 17:30,31258,31232,Casual
0h 9m 35s,7/1/2014 17:30,31634,31623,Registered
0h 4m 41s,7/1/2014 17:30,31230,31265,Registered
0h 2m 57s,7/1/2014 17:30,31631,31614,Registered
0h 23m 24s,7/1/2014 17:30,31224,31512,Registered
0h 3m 39s,7/1/2014 17:30,31631,31623,Casual
0h 9m 28s,7/1/2014 17:30,31230,31229,Registered
0h 2m 59s,7/1/2014 17:31,31263,31230,Registered
0h 26m 21s,7/1/2014 17:31,31258,31232,Casual
0h 12m 4s,7/1/2014 17:31,31605,31271,Registered
0h 2m 0s,7/1/2014 17:31,31020,31030,Registered
0h 9m 26s,7/1/2014 17:31,31109,31229,Registered
0h 14m 17s,7/1/2014 17:31,31014,31022,Registered
0h 13m 55s,7/1/2014 17:31,31629,31219,Registered
0h 9m 46s,7/1/2014 17:31,31200,31109,Registered
0h 19m 40s,7/1/2014 17:31,31121,31506,Casual
1h 6m 24s,7/1/2014 17:31,31021,31019,Casual
0h 14m 12s,7/1/2014 17:31,31613,31512,Registered
0h 10m 1s,7/1/2014 17:31,31235,31239,Registered
0h 11m 41s,7/1/2014 17:31,31233,31637,Registered
0h 2m 52s,7/1/2014 17:31,31011,31007,Registered
0h 6m 35s,7/1/2014 17:31,31230,31624,Registered
0h 14m 40s,7/1/2014 17:32,31015,31250,Registered
0h 12m 15s,7/1/2014 17:32,31257,31201,Casual
0h 12m 22s,7/1/2014 17:32,31312,31224,Registered
0h 20m 3s,7/1/2014 17:32,31235,31120,Registered
0h 12m 4s,7/1/2014 17:32,31230,31101,Registered
0h 10m 46s,7/1/2014 17:32,31256,31218,Registered
0h 40m 22s,7/1/2014 17:32,31015,31107,Registered
0h 11m 20s,7/1/2014 17:32,31110,31109,Registered
0h 6m 31s,7/1/2014 17:32,31231,31270,Registered
0h 4m 58s,7/1/2014 17:32,31200,31202,Registered
0h 8m 31s,7/1/2014 17:32,31253,31263,Registered
0h 4m 51s,7/1/2014 17:32,31114,31106,Registered
0h 11m 19s,7/1/2014 17:32,31229,31246,Registered
0h 23m 28s,7/1/2014 17:32,31107,31247,Registered
0h 16m 27s,7/1/2014 17:32,31271,31250,Registered
0h 10m 11s,7/1/2014 17:33,31257,31236,Registered
0h 4m 31s,7/1/2014 17:33,31802,31801,Registered
0h 5m 1s,7/1/2014 17:33,31625,31209,Registered
0h 15m 5s,7/1/2014 17:33,31030,31215,Casual
1h 4m 22s,7/1/2014 17:33,31021,31019,Casual
0h 7m 13s,7/1/2014 17:33,31267,31253,Registered
0h 6m 24s,7/1/2014 17:33,31103,31102,Registered
0h 4m 14s,7/1/2014 17:33,31619,31605,Registered
0h 16m 22s,7/1/2014 17:33,31108,31606,Registered
0h 17m 55s,7/1/2014 17:34,31228,31103,Registered
0h 19m 36s,7/1/2014 17:34,31222,31113,Registered
0h 20m 21s,7/1/2014 17:34,31262,31602,Registered
0h 4m 59s,7/1/2014 17:34,31613,31606,Registered
0h 5m 5s,7/1/2014 17:34,31400,31602,Registered
0h 4m 52s,7/1/2014 17:34,31121,31103,Registered
0h 16m 49s,7/1/2014 17:34,31262,31634,Registered
0h 9m 49s,7/1/2014 17:34,31242,31110,Registered
0h 13m 21s,7/1/2014 17:34,31217,31209,Registered
0h 2m 20s,7/1/2014 17:34,31506,31118,Registered
0h 18m 36s,7/1/2014 17:34,31601,31708,Registered
0h 35m 17s,7/1/2014 17:34,31258,31212,Casual
0h 18m 22s,7/1/2014 17:34,31037,31053,Registered
0h 16m 10s,7/1/2014 17:34,31111,31223,Registered
0h 12m 30s,7/1/2014 17:34,31266,31103,Registered
0h 7m 26s,7/1/2014 17:34,31627,31611,Registered
0h 8m 40s,7/1/2014 17:35,31114,31201,Registered
0h 23m 38s,7/1/2014 17:35,31222,31625,Registered
0h 15m 22s,7/1/2014 17:35,31623,31108,Registered
0h 6m 59s,7/1/2014 17:35,31020,31033,Registered
0h 14m 25s,7/1/2014 17:35,31265,31246,Registered
0h 5m 10s,7/1/2014 17:35,31200,31116,Registered
0h 34m 42s,7/1/2014 17:35,31258,31212,Casual
0h 1m 58s,7/1/2014 17:35,31266,31223,Registered
0h 11m 27s,7/1/2014 17:35,31039,31030,Registered
0h 6m 21s,7/1/2014 17:35,31623,31611,Casual
0h 29m 12s,7/1/2014 17:35,31228,31607,Registered
0h 3m 57s,7/1/2014 17:35,31212,31257,Registered
0h 6m 10s,7/1/2014 17:35,31613,31619,Registered
0h 0m 5s,7/1/2014 17:35,31119,31119,Registered
0h 9m 8s,7/1/2014 17:35,31200,31266,Registered
0h 17m 25s,7/1/2014 17:35,31009,31004,Registered
0h 4m 13s,7/1/2014 17:35,31009,31007,Registered
1h 6m 27s,7/1/2014 17:35,31217,31230,Casual
0h 3m 31s,7/1/2014 17:35,31021,31028,Registered
0h 2m 58s,7/1/2014 17:35,31614,31615,Registered
0h 7m 21s,7/1/2014 17:35,31607,31626,Registered
1h 6m 23s,7/1/2014 17:35,31217,31230,Casual
0h 5m 37s,7/1/2014 17:36,31633,31609,Registered
