"source","id","title","description","manufacturer","price"
"amazon","b000fis8ew","corel ventura 10 dvd","corel ventura 10 product on dvd format is the only tool you need for transforming long complex documents into highly formatted and visually rich publications.","corel",699
"amazon","b00009vrfk","math missions: the amazing arcade adventure grades 3-5","save spectacle city by disrupting randall underling's plan to drive all the stores out of business and take over the city. solve real-world math challenges in the uniquely entertaining stores and make theme successful again.","scholastic",19.99
"amazon","b000a76zt8","microsoft works suite 2006","with something for everyone in your home microsoft works suite 2006 is the ideal combination of six great software titles in one affordable package. microsoft works suite 2006 includes a full version of microsoft word 2002 along with easy-to-use tools for getting organized tracking personal finances planning trips editing and sharing digital photos and interactive learning. in addition to word works suite 2006 includes works 8 money 2006 digital image 2006 encarta encyclopedia 2006 and streets and trips essentials 2006. get everything you need to get things done using your home pc in one package with works suite 2006. whether you're paying bills online or fixing the red-eye in your vacation pictures you can easily find what you need to complete the task. manage your photos plan a trip or make cards. there's something for everyone. getting things done get everything you need to get things done using your home pc in one package with works suite 2006. keep track of budgets research school reports and write them up with automatic spelling and grammar checking. it's a snap to keep everyone in the family in step and informed of the others' activities with powerful organization tools. with works suite 2006 you can create professional-looking letters resumes and school assignments with microsoft word the world's best-selling word-processing software. a versatile calendar and address book helps you manage your household schedule and contacts. with a works spreadsheet you can make calculations create lists and manage inventories. to help you stay on top of day-to-day finances money 2006 can consolidate all your personal account information in one place and even help you to pay bills online and update account balances. when you're ready to hit the road for a family vacation streets and trips 2006 will give you all the tools you need to customize road trips cross-town or cross-country. digital image standard 2006 provides your family with the easy-to-use tools you need to organize enhance and share your digital photos. and with the best-selling multimedia encyclopedia encarta you will always have accurate relevant and age-appropriate information at your fingertips. easy to use microsoft knows that you have better things to do with your time than to learn how to use complicated and time-consuming applications. that's why the applications that are included with works suite 2006 have been designed to make your tasks not only easy to accomplish but enjoyable as well. so whether you're paying bills online or fixing the red-eye in your vacation pictures you can easily find what you need to complete the task. everything you need is located in one place; even complex projects like organizing family get-togethers become fun to do and easily manageable. quickly find and launch programs and projects in one place with the works task launcher and get up and running quickly with the works quick tour. easy-to-use works templates and projects help to take the stress out of managing anything from a weekend getaway to home improvements while organizing and finding photos is quicker and easier with improved file management and viewing functionality. you and your family will discover endless uses in the six great titles included in microsoft works suite 2006. if you are planning a long road trip exploring the possibilities of digital photography or keeping track of your cd collection you'll find something to make the project trouble-free. everyone in the family will find something to love in works suite 2006.","microsoft",99
"amazon","b000o27ti0","adobe creative suite cs3 design standard upgrade","note: this is the upgrade version of adobe creative suite 3 design standard. adobe creative suite 3 design standard upgrade software is the indispensable toolkit for professional design and print production. it combines all-new versions of essential tools for page layout image editing illustration and adobe pdf workflows in a tightly integrated creative environment. with design standard you can express and print your ideas faster and more easily than ever before. design and print graphically rich materials such as magazine spreads with the tightly integrated productive tools in adobe creative suite 3 design standard. master deadlines in design and print production adobe creative suite 3 design standard software is the indispensable toolkit for professional design and print production offering all-new versions of essential tools for page layout image editing illustration and adobe pdf workflows. design with essential tools take your designs from concept to completion with adobe creative suite 3 design standard which helps you create and print your best work. from sketching concepts to finessing production details you can create beautiful sophisticated designs with creative suite design standard. take advantage of new creative effects and finer transparency controls in adobe indesign software; explore apply and control color variations using the new live color environment in adobe illustrator software; and apply new nondestructive smart filters in adobe photoshop software. design standard helps you express your best ideas more easily and efficiently than ever before. keep your ideas flowing adobe creative suite 3 design standard lets you slip into the creative zone and stay there by offering tight integration and shared productivity features that enable you to move fluidly between tasks. easily share assets among components--double-click an asset in an indesign layout to quickly open it in photoshop or illustrator for example or use smart objects to nondestructively edit illustrator artwork in photoshop. visually manage assets in adobe bridge manage workgroup files with adobe version cue and shop for royalty-free images using adobe stock photos--all from within design standard. print with confidence enjoy rock-solid streamlined print production using creative suite 3 design standard. generate predictable printed output with features such as synchronized color settings and shared pdf presets. help minimize errors by using output previews before you print and exert fine control over output using consistent comprehensive professional printing options. streamline prepress using adobe acrobat software to preflight and correct adobe pdf files and to automate workflows with jdf. with design standard you can reliably print beautiful content with the utmost efficiency. adobe photoshop cs3 for unrivaled image editing adobe illustrator cs3 for inspired vector graphics creation adobe indesign cs3 for professional page layout adobe acrobat 8 professional for efficient adobe pdf workflows audience benefit design professionals--express your ideas in print using adobe creative suite 3 design standard software the graphic designer's indispensable toolkit for professional design and print production. creative suite 3 design standard offers a tightly integrated unified creative environment that combines essential tools for professional page layout image editing illustration and adobe pdf workflows with visual asset management workgroup file management and other shared productivity features. with design standard you can remove technical distractions and find your creative flow producing and printing beautiful content faster and more easily than ever before. print professionals--adobe creative suite 3 design standard software is adobe's high-quality creation and production environment for reliable print layout and output. it combines full new versions of adobe's leading design and print production tools--adobe indesign cs3 photoshop cs3 illustrator cs3 and acrobat 8 professional--with integrated productivity features all in a unified creative environment. design standard gives you and your customers streamlined controls for more consistent color and press-ready adobe pdf files including support for new pdf/x-4 (draft) and pdf/a industry standards in acrobat 8 professional as well as preflighting with automated file correction and support for jdf automation. creative suite 3 design standard helps you realize smooth production processes and reliable final output. it professionals--adobe creative suite 3 design standard software enables creative teams to realize their ideas more quickly and efficiently than ever before. built on industry standards to provide long-term compatibility design standard can be deployed easily across networks is extensible and scriptable and can be tailored to meet a variety of specialized publishing needs. design standard combines full new versions of adobe's essential design and print production tools--adobe indesign cs3 photoshop cs3 illustrator cs3 and acrobat 8 professional--with integrated productivity features for creative workgroups. offering a single installer and serial number for easy installation and backed by the quality and reliability adobe is known for creative suite 3 design standard meets the design and print production needs of your creative team. visually manage assets in adobe bridge test mobile designs in adobe device central top new benefits of adobe creative suite 3 design standard all-new versions of essential creative tools experience a highly productive creative toolkit with adobe indesign cs3 for professional page layout adobe photoshop cs3 for unrivaled image editing adobe illustrator cs3 for inspired vector graphics creation and adobe acrobat 8 professional for efficient adobe pdf workflows. unified design environment work efficiently in an interface that's common across many components of design standard. new self-adjusting panels dock conveniently out of your way when not in use and pop out when you need them. maximize screen mode keeps panels from overlapping the document window. support for the latest mac and windows systems get the most out of design standard on intel based mac systems and microsoft windows vista computers. work smoothly on legacy powerpc based mac and windows xp systems as well. efficient powerful page design with adobe indesign cs3 explore more creative possibilities and experience new levels of productivity using indesign cs3 which offers powerful features for creating graphically rich complex documents; professional typographic controls; and robust reliable printing. inspired vector graphics creation in adobe illustrator cs3 explore apply and control color variations using live color in illustrator cs3. select and align points and edit paths more easily than ever define crop areas interactively for print or export and enjoy improved operating performance. powerful digital imaging with adobe photoshop cs3 select image regions more intuitively apply filters nondestructively and align and blend similar images to quickly produce the best composite using photoshop cs3. pdf file creation and collaboration with adobe acrobat 8 professional create reliable final print documents using acrobat 8 professional. conduct server-based shared reviews preflight and automatically correct adobe pdf files and work in a more streamlined intuitive interface. visual media management in adobe bridge cs3 efficiently organize browse locate and preview assets with adobe bridge cs3 which offers faster performance; customizable workspaces; nondestructive batch-editing of tiff jpeg and camera raw files; direct playback of flash files; and direct access to useful services such as adobe stock photos*. real-time interactive web conferences with acrobat connect use bridge or acrobat to launch acrobat connect the web-based conferencing system for real-time interactive meetings such as design reviews. for a low monthly fee host online conferences in a meeting room that you set up once and is readily available. advanced workgroup file management with adobe version cue cs3 use version cue to manage the use of files within creative teams. track multiple versions prevent overwriting find the files you need quickly conduct browser-based adobe pdf reviews and control access to files on a project-by-project basis. additional features unprecedented integration for exceptional productivityenjoy a consistent design experience across indesign illustrator and photoshop with shared interface elements such as self-adjusting panels that dock out of your way when not in use. and use native file formats smoothly across software components to streamline design and production. powerful color and printing capabilities print photoshop composites illustrator artwork and indesign layouts with confidence thanks to robust color options consistent color settings and professional output controls for high-quality printing. exceptional native file format support open photoshop images in illustrator and illustrator artwork in photoshop and place both types of native files as well as adobe pdf files in indesign layouts. streamline your design and production processes in myriad ways using native file format support. reliable adobe pdf workflows use adobe pdf to create reliable and consistent final output streamline print productionincluding automatically fixing mistakes found during preflight and automate processes using jdf. cross-media publishing contribute your assets to cross-media workflows. hand off photoshop image comps for use in web prototyping preview illustrator artwork as it might appear on a mobile device and export indesign layouts as xhtml for use by colleagues in web page layouts. shared features and services work more efficiently using a host of shared features and services including adobe stock photos* for purchasing royalty-free images; acrobat connect* for hosting web-based interactive meetings; and version cue cs3 for workgroup file management. powerful jdf workflows automatically convert adobe indesign files to adobe pdf and preflight and validate them against the targeted output intent (including number of pages page size and more) using enhanced jdf-based workflows. streamlined print production preflight adobe pdf files in acrobat and fix problems before they get to press. automatically correct hairlines downsample image resolution flatten transparency and more. efficient and easy-to-manage deployment easily deploy design standard using a single installer and serial number and track manage and accurately allocate adobe software assets using adobe license manager. industry-standard scripting automate tasks across design standard by writing scripts in javascript applescript microsoft visual basic and extendscript. * online services including but not limited to adobe stock photos and acrobat connect may not be available in all countries languages and currencies. availability of services is subject to change. use of online services is governed by terms and conditions of a separate agreement and may be subject to additional fees. for details visit www.adobe.com. adobe creative suite 3: what's in each edition? adobe creative suite 3 editions design premium design standard web premium web standard production premium master collection adobe photoshop cs3 extended adobe photoshop cs3 adobe illustrator cs3 adobe indesign cs3 adobe acrobat 8 professional adobe flash cs3 professional adobe dreamweaver cs3 adobe contribute cs3 adobe fireworks cs3 adobe after effects cs3 professional adobe premiere pro cs3 adobe soundbooth cs3 adobe encore cs3 adobe onlocation * adobe ultra cs3 * additional features and services in adobe creative suite 3 adobe bridge cs3 adobe version cue cs3 adobe device central cs3 adobe dynamic link adobe stock photos adobe acrobat connect * adobe ultra runs on microsoft windows only. for macintosh users adobe onlocation requires bootcamp and windows (purchased separately) or a separate windows-based computer.","adobe",399
"amazon","b000hcz9ac","microsoft windows vista home basic upgrade [dvd]","the windows vista home basic upgrade dvd-rom offers search and organize innovations as well as improved networking opportunities. windows vista home basic is the edition of windows vista for users with the most basic computing needs. the features in this user-friendly software also form the foundation of all of the other editions of windows vista including windows vista home premium and windows vista ultimate. windows sidebar gives you quick access to gadgets like picture slide shows windows media player controls or news headlines. you pick the gadgets you want to see in windows sidebar. view larger. use instant search to quickly find the information you need. view larger. compare windows vista editions. windows photo gallery gives you a whole new way to manage find and view your digital photos. view larger. manage your schedule sync up with other calendars and make sure you never miss another appointment using windows calendar. view larger. windows mail includes features that help you minimize the annoyances and risks associated with using e-mail while enjoying the benefits of staying in touch with others. view larger. update eligibility you can upgrade from your current edition of microsoft windows xp or windows 2000 (including windows xp professional windows xp home windows xp media center windows xp tablet pc windows xp professional x64 windows 2000) to a corresponding or better edition of windows vista by purchasing and installing this upgrade copy of windows vista. depending on which edition of windows you are running and the edition of windows vista you would like to install you have two options for the installation process: you can upgrade in-place which means you can install windows vista and retain your applications files and settings as they were in your previous edition of windows or you can do a clean install. if you are currently using windows 2000 professional or windows xp professional x64 you are eligible for an upgrade copy to a corresponding or better edition of windows vista but a clean install is required. for versions of windows earlier than windows 2000 upgrade copies are not available. these earlier versions of windows require you to install a full copy of windows vista. breakthrough windows vista experience designed to help you feel confident in your ability to view find and organize information and to control your computing experience all editions of windows vista introduce a breakthrough user experience. the visual sophistication of windows vista helps streamline your computing experience by refining common window elements so you can better focus on the content on the screen rather than on how to access it. the desktop experience is more informative intuitive and helpful. and new tools bring better clarity to the information on your computer so you can see what your files contain without opening them find applications and files instantly navigate efficiently among open windows and use wizards and dialog boxes more confidently. secure and effective windows vista home basic helps people use their pcs securely and reliably makes it simple to stay better connected and like all of the editions of windows vista is compatible with the widest range of software devices and services that people use and trust every day. for those who simply want to use their pc to surf the internet correspond with friends and family using email or perform basic document creation and editing tasks windows vista home basic delivers a safer more reliable and more effective computing environment. more productivity windows vista home basic helps encourage better personal productivity while providing digital entertainment on your pc through its improved reliability security and performance. it also helps you to accomplish tasks faster with a rich new interface and innovative ways to organize and find the information stored on your pc. safer and more reliable specifically designed to be the safest operating system microsoft has ever delivered windows vista home basic frees you from worry about the safety and security of your time on the computer. in fact every edition of windows vista including windows vista home basic provides the essential tools and technologies to help protect you whether you are browsing the internet connecting to a wireless network or just reading e-mail. in addition windows vista home basic includes innovative tools that warn you of impending hardware failures long before you have lost any important personal data. additionally this system comes equipped with up-to-date parental control features that allow you to manage and monitor your family's use of games the internet instant messaging and other activities on your pc that might concern you as a parent. easy set-up and operation as with all of other editions of windows vista windows vista home basic makes your pc significantly easier to use thanks to helpful tools that let you painlessly move your personal files and settings from your old pc to your new windows vista-based pc. additionally windows vista home basic integrates new search tools throughout the operating system to help you quickly find the precise file or program you need. even if your existing pc seems to be adequate for basic tasks such as reading e-mail and browsing the web by upgrading your pc to windows vista home basic or by purchasing a new pc installed with this software you will benefit from a better computing experience and more peace of mind.","microsoft",99.95
"amazon","b0009i5px0","norton antivirus mac 10.0 (mac)","norton antivirus 10 is a powerful antivirus solution for the newest and most sophisticated online threats. detect spyware and other non-virus threats removing them automatically for better defense against emerging online threats.","symantec",69.95
"amazon","b0000als2s","pop-up stopper professional","pop-up stopper professional eliminates those unwanted pop-up ads for all web browsers!","panicware",29.99
"amazon","b0001av65w","ideasoft photo clip art 10 000","stand out from the crowd with 10 000 unique photo images! these bright bold and brilliant photos come with solid changeable backgrounds making them as easy to use as clip art. from bananas to banjos cars to children dogs to ducks - there's a photo clip art image for every project!","nova development",0
"amazon","b000ofnrhy","adobe premiere pro cs3","tell your story with maximum impact using adobe premiere pro cs3 software the start-to-finish solution for efficient video production that now includes adobe encore cs3 and adobe onlocation cs3* (windows only) formerly the award-winning dv rack hd. save time from on-set capture using adobe onlocation through to output expand your creative options via integration with adobe after effects cs3 professional and photoshop and deliver your content to dvd blu-ray disc the web and mobile devices. the powerful editing finishing and delivery tools in adobe premiere pro are now available on both mac and windows operating systems. maintain control of your media with multiple project panels customizable panel display settings and instant file searches. export adobe encore cs3 projects as dvd blu-ray disc or flash. when you export as flash encore generates html flv and swf files that provide dvd-style chapter selection playback and interactivity through the flash player. capture edit and deliver to video dvd and the web adobe premiere pro cs3 software available for both mac and windows streamlines the entire video production process from direct-to-disk recording through editing to final delivery for tape disc the web and mobile devices. adobe premiere pro cs3 redefines productivity and flexibility for capturing editing and delivering video content. video professionals want to concentrate on storytelling--not on the nuts and bolts of production--and adobe premiere pro cs3 frees you to focus on telling your story. maximize image quality and work faster during shoots by using adobe onlocation cs3 software (requires windows and boot camp for mac ) included with adobe premiere pro to calibrate cameras monitor video signals and record directly to disk--all during the shoot. edit every major video format from dv to hd and beyond with adobe premiere pro cs3. improve efficiency and creativity with new workflow and new visual effects features. save time and expand creative options through tight integration with other adobe software including adobe after effects cs3 and adobe photoshop cs3. adobe encore cs3 software now included with adobe premiere pro cs3 lets you author once and then output to blu-ray disc dvd and flash swf for the web. adobe premiere pro supports additional delivery platforms including flash and mobile devices letting you reach the widest audience possible. audience benefit corporate and government video producers--adobe premiere pro cs3 provides the tools you need to ensure excellent production values while working quickly to stay on schedule. edit with precise control add stunning effects and move content smoothly to adobe after effects cs3 professional and photoshop for even more creative control. streamline the review process with adobe clip notes and output to multiple formats quickly and easily to reach more people everywhere. adobe premiere pro cs3 lets you communicate with high-quality video and imagery even with tight budgets and looming deadlines. event videographers--small crews and tight deadlines mean you need to work fast even while clients demand higher and higher production values. adobe premiere pro cs3 lets you capture events directly to disc with included adobe onlocation cs3* (windows only); work fast with precision editing tools including support for editing multicam shots; create compelling effects via tight integration with adobe after effects cs3 professional and photoshop cs3; and use the included copy of adobe encore cs3 to deliver content however your clients need it whether on dvd blu-ray disc the web or mobile devices. independent filmmakers--your passion is storytelling. your challenge is finding the right software to handle every aspect of the production process and deliver hollywood-quality imagery. adobe premiere pro cs3 meets this need with a complete toolset for capturing footage direct-to-disc editing imagery and creating titles in post-production producing dvds and delivering web-ready content to promote your films on the internet. and with the included video workshop and training materials you'll have help through every stage of production. post-production boutiques--enjoy advanced editing tools as well as the uncompromised image quality and real-time performance you need in professional broadcast and film post-production. work with all major formats enjoy powerful effects and media management tools get unparalleled integration with adobe after effects cs3 professional and photoshop software and increase efficiency with workflow enhancements such as adobe clip notes. with adobe premiere pro cs3 and adobe encore cs3 you can deliver your work in the format your client needs from adobe flash video through dvd and blu-ray disc to uncompressed hd. educators and students--adobe premiere pro cs3 offers a complete set of post-production tools that let you handle all aspects of filmmaking and post-production cost effectively from capturing and editing footage to creating titles dvds and promotional materials such as websites that feature video content. use flexible tools to express your creativity work with any file format on both windows and macintosh platforms and deliver your work across multiple media. what's new in adobe premiere pro cs3k dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. high-quality slow motion with time remapping create dramatic slow- and fast-motion effects without exporting clips to another application. with precise keyframe control real-time feedback and excellent quality from advanced frame blending you can slow things down without compromising quality. or generate even better in-between frames through pixel-motion analysis with the timewarp effect. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. adobe encore cs3 projects for the web with one click easily create adobe flash versions of your dvd and blu-ray disc projects for the web. use adobe encore cs3 to create flash content complete with dvd interactivity and menus without learning flash programming. multiple project windows with smart file search find files faster with search tools that instantly update their results list as you type. sort and organize assets into multiple project windows each with its own graphical or text view setting. display and handle media files making project management easier and more efficient. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. create stunning slow-motion and other retiming effects directly in the timeline by setting and moving time remapping keyframe markers. improve the look of your video with the three-way color corrector and the other precision color-correction tools in adobe premiere pro. improved editing efficiency work faster with powerful and flexible editing tools. play video with nested audio sequences in real time without rendering. replace any clip in the timeline with a new clip while preserving the replaced clip's editing attributes and settings. use shortcuts to switch between workspace panels and save time. output for mobile devices make your video viewable on the latest delivery platforms. encode video for delivery to cell phones and other mobile devices and simulate playback on those devices to check video quality. download profile updates to simulate the latest devices. flash video export with markers converted to cue points encode video and audio for flash projects and web playback with direct flash video (flv) export. adobe premiere pro cs3 timeline markers become flash cue points that trigger interactivity and navigation. create flash video with ease. improve efficiency and incorporate a tapeless workflow during shoots by using adobe onlocation cs3* to monitor your camera's video signal and record it directly to a computer hard drive. the multi-camera window makes editing action recorded with several cameras or in multiple takes as easy as pointing and clicking. additional features efficient tools for creative editing create high-quality visual and editorial effects directly within the editing timeline. generate slow motion and other time-remapping effects with precise keyframe control and real-time feedback. add color correction lighting and other effects audio filters and more with fast flexible and built-in tools. edit footage from multicam shoots with ease and precision. comprehensive video format compatibility work with the formats you want. edit all standard- or high-definition formats from dv through hdv to hd and beyond (some formats may require additional hardware). broad range of supporting hardware and software for mac and windows choose from a wide range of mac and windows workstations and capture cards to build the editing system that exactly meets your needs and budget. enhance your system with additional plug-ins including many from adobe after effects software. dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. superior integration with other adobe applications make the leading still and motion graphics applications adobe photoshop and after effects part of an efficient post-production workflow. import and animate photoshop layers. automatically create photoshop files that match the current project's frame size and aspect ratio. drag and drop or copy and paste clips and timelines between adobe premiere pro cs3 and after effects cs3 professional. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. delivery to the web and mobile devices make your video viewable on today's and tomorrow's delivery platforms. export as adobe flash video (flv). easily convert dvd projects complete with menus to flash swf files for web playback. encode for delivery to cell phones and other mobile devices and emulate playback on those devices to check playback quality. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. multicam editing view multiple video tracks from a multiple-camera shoot easily sync via timecode and edit by switching between tracks in real time. rerecord sections of your edit make fine adjustments using all the standard timeline editing tools and easily adjust color correction across multiple shots even after editing. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. mac os x compatibility use adobe premiere pro cs3 on the latest intel based macintosh computers. aaf and edl import/export exchange project metadata with major video film and audio applications via industry-standard advanced authoring format (aaf) aaf with edit protocol and edit decision list (edl) files (aaf import/export for windows only). comprehensive vtr support control video decks through rs-422 and rs-232 serial protocols or firewire for precise batch capturing recapturing and insert editing. file management with adobe bridge work more efficiently by using adobe bridge cs3 to search for and access your project files preview and apply settings run batch processes and tag assets with xmp metadata. * for macintosh users adobe onlocation requires boot camp and windows (purchased separately) or a separate windows based computer.","adobe",799
"amazon","b0001nm7zm","entertainment partners budgeting (mac)",,"entertainment partners",699
"amazon","b0000696oh","emedia intermediate guitar method win/mac","emedia intermediate guitar method is an easy way to take your guitar playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video sound and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired skills such as hammer-ons pull-offs bends vibrato and slides. barre chords and different strumming styles are covered in the rhythm chapters and there's a fingerstyle chapter as well. you can choose to learn using either tablature or standard music notation. intervals scales and the basics of improvisation are also covered in this comprehensive volume. emedia intermediate guitar method includes an animated fretboard that displays the fingering for each song and exercise in real time and is adjustable to four different viewing angles. included are over 50 songs recorded in multitrack audio which makes learning and listening to hit songs exciting. also available is a variable-speed midi track option allowing students to practice any song or exercise at the tempo they choose. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales making practicing and learning new scales easy. additional features include a built-in automatic tuner digital metronome recorder and 1 000-chord dictionary with audio playback. intermediate guitar method features many hit songs by artists such as eric clapton jimi hendrix the steve miller band johnny cash and jim croce.","emedia",59.99
"amazon","b000bi8m2e","super collapse 3","explore the world of super collapse 3! in this exciting new quest your journey will take you through ten different realms -- with many stops along the way. visit the shop in each town to purchase power-up items to help you in your quest. for a distraction take in ten entertaining new games in the casino of each town. you can play the classic collapse! games that you know and love along with three new challenging modes. challenge yourself to the new slider continuous and countdown modes. how long can you survive?","mumbo jumbo",19.99
"amazon","b0009n4gx0","timbuktu remote control softwre 2 licenses for windows & mac","timbuktu pro has been the standard for remote control software. now with the release of timbuktu pro version 8.0 timbuktu pro adds new layers of security more ways to find and connect to other users strong ssh encryption and compression of the data stream and a network push installer that allows you to install timbuktu pro on computers throughout your network.","netopia",199.99
