name,player_id,country_id,birthdate
Yasuko Tajima                           ,TAJIMYAS01,JPN,1985-12-11
Yelena Isinbayeva                       ,ISINBYEL01,RUS,1979-06-13
Yelena Prokhorova                       ,PROKHYEL01,RUS,1981-09-22
Yelena Slesarenko                       ,SLESAYEL01,RUS,1982-10-12
Yelena Yelesina                         ,YELESYEL01,RUS,1979-11-15
Yingwen Zhu                             ,ZHUYIN01  ,CHN,1977-03-02
Yipsi Moreno                            ,MORENYIP01,CUB,1972-05-22
Yoel Garcia                             ,GARCIYOE01,CUB,1977-02-25
Yoshihiro Okumura                       ,OKUMUYOS01,JPN,1980-03-18
Yu Yang                                 ,YANGYU01  ,CHN,1974-01-04
Yuko Nakanishi                          ,NAKANYUK01,JPN,1980-04-18
Yulia Sotnikova                         ,SOTNIYUL01,RUS,1979-12-06
Yuliya Nesterenko                       ,NESTEYUL01,BLR,1985-04-03
Yuliya Tabakova                         ,TABAKYUL01,RUS,1985-11-19
Yumileidi Cumba                         ,CUMBAYUM01,CUB,1971-01-06
Yunaika Crawford                        ,CRAWFYUN01,CUB,1981-12-09
Yuriy Bilonog                           ,BILONYUR01,UKR,1972-08-19
Yuriy Borzakovskiy                      ,BORZAYUR01,RUS,1984-07-16
Zersenay Tadesse                        ,TADESZER01,ERI,1975-02-26
Zoltan Kovago                           ,KOVAGZOL01,HUN,1981-11-26
